,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PE18,233.314683919439,-11.4807950579706,1.51716588913405,-7.56726416023198,3.81166307930875e-14,3.96497663872094e-12
PE_PGRS19,554.638709618597,-1.40029315073152,0.29886698434087,-4.6853390441228,2.79496872053091e-06,8.7221657205368e-05
PPE25,2164.56090916864,-1.72893668161043,0.169144185454365,-10.2216737570142,1.58578768226954e-24,9.27884017587966e-22
PPE26,1041.69050413625,-13.6436009259839,1.45931217587625,-9.34933672967644,8.81990707715214e-21,3.17584500216532e-18
PPE34,11439.9813489932,0.323265570789435,0.0932042520715372,3.4683564709185,0.000523652167192952,0.0130334423978731
PPE38,9885.00946044461,-0.620967808891969,0.116852266170456,-5.31412722442324,1.07169726772396e-07,4.11197943460316e-06
PPE46,5497.05090952284,1.22987265637038,0.116095280603654,10.5936490266916,3.1891237432224e-26,2.98565764840481e-23
PPE54,24283.6806295993,1.33913028501877,0.126249442586589,10.6070193862465,2.76426867765001e-26,2.98565764840481e-23
PPE57,489.305449589973,-5.46810472372762,0.372127834047243,-14.6941567478487,7.02677659711103e-49,3.28923412510767e-45
PPE58,847.939600630874,-13.3457444302905,1.46218026061497,-9.12729079291325,7.02348686170458e-20,2.19179613330928e-17
Rv0569,918.041847162337,-2.21060822230582,0.34141505402216,-6.47484109520941,9.49117725325658e-11,5.48496305215976e-09
Rv1319c,5482.97162671454,0.507866942656914,0.133811703475578,3.79538507817893,0.000147414468773412,0.00392072232004741
Rv1322A,2815.91611066675,-0.689269769478971,0.206285472119337,-3.34133937013377,0.000833752444648781,0.0201175009969121
Rv1738,4986.45890068804,-1.14033867631444,0.169159233077436,-6.74121450877251,1.57068112708559e-11,1.0655591820127e-09
Rv1760,2550.11439014891,-14.9348751568558,1.45048101572873,-10.2964981926029,7.30730802483259e-25,4.8865012663202e-22
Rv1761c,550.500271629159,-12.7224932490144,1.47172988938126,-8.64458440425043,5.40014846932277e-18,1.20371880880476e-15
Rv1762c,927.07258432316,-13.4774112445609,1.47336522690296,-9.14736617810012,5.83384944640292e-20,1.95058923275801e-17
Rv1765c,1345.25627811433,-12.5819408183209,1.3865326085422,-9.07439229398976,1.14313615483043e-19,3.34438771297579e-17
Rv2030c,9440.66991322996,-0.76940496290207,0.119608514483112,-6.43269391169225,1.25361943471801e-10,7.15633240721341e-09
Rv2337c,5640.04995262172,0.329326944508505,0.107340343770278,3.06806306874989,0.00215451141533865,0.0475720185622653
Rv2348c,4944.95145777128,-0.861374285030541,0.192142714905216,-4.48299216265086,7.36036336267259e-06,0.00021533663062919
Rv2828c,321.186899635143,-1.18421230628231,0.368867054891202,-3.21040410245256,0.00132548487674731,0.0308686303883291
Rv2840c,2554.97946992274,-1.0203395551583,0.249759342370292,-4.08529084628014,4.40216392449129e-05,0.00123392391200861
Rv3131,7237.23250852519,-0.527591266750006,0.141582954097988,-3.72637560864048,0.000194252868818334,0.00510841392662148
Rv3134c,5670.81614180243,-0.377055552482838,0.118332409111682,-3.18640983745183,0.00144050379140291,0.033202916004046
Rv3188,1396.77233971176,-0.865511221819306,0.189787414613309,-4.56042474461639,5.10502555409453e-06,0.000153183491145619
Rv3189,3159.85955435551,-0.592244553641308,0.161822741132241,-3.65983513502178,0.000252377571972955,0.00649109568354616
Rv3190A,2793.27851770966,-0.740773175083386,0.149201946203573,-4.96490289793317,6.87354516995187e-07,2.29821892432462e-05
Rv3190c,7038.39145587606,-0.700777754437894,0.105958898411475,-6.61367534906349,3.74893447263776e-11,2.37145436032667e-09
Rv3191c,5981.92006289846,-0.680052871529966,0.112619164001349,-6.03851820034663,1.55535886995966e-09,7.35417663664764e-08
Rv3192,4324.26047449886,-0.545437650592536,0.139645827688049,-3.90586428268357,9.38891992409769e-05,0.00254043550084979
Rv3193c,10373.2562942909,-0.646419048035809,0.0930942054043948,-6.94370874350138,3.81937550623666e-12,2.87789837967705e-10
Rv3194c,4771.52791795796,-0.69448948070487,0.119363159256043,-5.81829004052363,5.94526760719421e-09,2.57683311752556e-07
Rv3195,6167.30562087063,-0.764480432630312,0.115892885755629,-6.59643970072753,4.21148675626977e-11,2.62852926747984e-09
Rv3196,3683.63681252609,-0.817136837219003,0.138710334142096,-5.89095861006234,3.83961724136387e-09,1.69558946290795e-07
Rv3196A,2086.95649005818,-1.02326379279516,0.23327328750542,-4.38654508511344,1.15165302409223e-05,0.000334837751911535
Rv3197,8796.66817605911,-0.762488823197956,0.102440406479003,-7.44324285119114,9.82432405533502e-14,8.84378094288909e-12
Rv3198A,1723.82050425443,-0.748973924520216,0.180401583329601,-4.15170371953892,3.30009319420553e-05,0.000941935136711956
Rv3200c,4488.20638194262,-0.832685780900904,0.123793184154194,-6.72642671395969,1.73880160194244e-11,1.1627614712418e-09
Rv3201c,14574.0773891653,-0.811578563933048,0.099861231938809,-8.12706340765305,4.39815340160686e-16,5.88907572437185e-14
Rv3202a,2035.677753359,-0.834789222571939,0.158556733204399,-5.26492445764378,1.402470137522e-07,5.16926197932321e-06
Rv3202c,10715.6963130502,-0.804419716911699,0.0929408648298242,-8.65517787449687,4.92143539570706e-18,1.15186195436524e-15
Rv3205c,5087.44590371517,-0.771988558004597,0.126475149356955,-6.10387544058785,1.03526977983438e-09,5.04801858271327e-08
Rv3207c,3585.0542479952,-0.77236679464073,0.148981948194242,-5.18429785623238,2.16830173074313e-07,7.86807783070434e-06
Rv3208,6526.90147307679,-0.715036631987473,0.102183859206236,-6.99754968682801,2.60477701456445e-12,2.06660359409766e-10
Rv3209,3341.4437432505,-0.896111096866349,0.142600314093772,-6.2840751968967,3.29811048734728e-10,1.73379604899103e-08
Rv3210c,4952.0186365429,-0.83231801951198,0.157553008673916,-5.2827808654204,1.27237552524017e-07,4.76479186691938e-06
Rv3212,5712.7228008399,-0.774966627485496,0.13324846678269,-5.81595155424462,6.02899269034726e-09,2.58914814527666e-07
Rv3213c,4683.21752561193,-0.899047030334712,0.123926115558651,-7.25470193495427,4.02547298147214e-13,3.42604345932202e-11
Rv3217c,3014.92093444933,-0.587955511971886,0.141906016662847,-4.14327401895018,3.42382438246092e-05,0.000971328602078763
Rv3218,5264.70850121138,-0.955060849904717,0.165862487260673,-5.75814860658469,8.50414745959213e-09,3.52282427065051e-07
Rv3220c,8449.33153282341,-0.757311335405273,0.0980945150649296,-7.72022100220387,1.16128176382666e-14,1.29427617535062e-12
Rv3224,6323.89773004762,-0.864362755527381,0.125928749233367,-6.86390328490894,6.7004003149356e-12,4.82531905757131e-10
Rv3225c,8802.22859032782,-0.751976540444872,0.117423876320006,-6.40394921383427,1.51408493799894e-10,8.43741856520598e-09
Rv3226c,5464.70094955242,-0.781119192731536,0.123185066205238,-6.34102182021085,2.28246207542707e-10,1.24234941570629e-08
Rv3228,3380.64760482814,-0.839381173744571,0.141372361717738,-5.93737816604114,2.89616114145739e-09,1.31620682554971e-07
Rv3230c,6322.20842925606,-0.648475933424144,0.131677411792885,-4.92473177133925,8.4476149311611e-07,2.76526471977378e-05
Rv3231c,1186.1419613052,-1.01412046909698,0.203144945088287,-4.99210289803789,5.97254196466771e-07,2.01132870047551e-05
Rv3235,2100.58764622818,-0.828311281683078,0.167532871383681,-4.94417170100363,7.64682861997811e-07,2.52076089930405e-05
Rv3239c,13811.4401964854,-0.756185899771419,0.092444602355783,-8.17988157773838,2.84122961092544e-16,4.15618619023187e-14
Rv3241c,3415.31034752882,-0.89243291289557,0.127668119523432,-6.9902565826684,2.74383968351815e-12,2.14065225975808e-10
Rv3242c,2858.42215763257,-0.826372487474398,0.143148798992386,-5.77282166033647,7.79549373260918e-09,3.25809876449496e-07
Rv3243c,3579.07800514672,-0.571566132106997,0.124856399336781,-4.57778804404958,4.69918473697316e-06,0.000142836907492022
Rv3249c,2462.46069448478,-0.77875380269666,0.165750954588085,-4.69833675849396,2.6228870496332e-06,8.29576640495473e-05
Rv3253c,8616.77204462935,-0.805158254796195,0.0962698150365028,-8.3635587592113,6.08541979739314e-17,1.01735178827133e-14
Rv3254,7072.72308933931,-0.793111540691367,0.103665978969016,-7.65064439249073,1.99974648567618e-14,2.17693332545353e-12
Rv3256c,2107.62443016206,-0.808436976770504,0.186860586345994,-4.32641785289912,1.51553802743639e-05,0.000437915648545044
Rv3259,3084.4756145531,-0.744752877241315,0.154693213399919,-4.81438623500535,1.47652989632961e-06,4.76664582394408e-05
Rv3263,8029.52044097769,-0.73975629895199,0.115046017399506,-6.43009046009068,1.27528028194545e-10,7.19227349371884e-09
Rv3267,8638.62747252067,-0.870355955761353,0.101635640440992,-8.5634916254271,1.09499826326294e-17,2.14570754844121e-15
Rv3268,3924.98725259876,-0.743880777662311,0.122363524145021,-6.07926898853197,1.2073168111138e-09,5.82623710600379e-08
Rv3271c,5999.34589126965,-0.90465754874294,0.124779334262863,-7.25005910704064,4.1658979384809e-13,3.48224433036234e-11
Rv3272,6371.13854844365,-0.927051407404402,0.121867322190066,-7.60705487528934,2.804122738253e-14,2.98320421312779e-12
Rv3273,13030.8763333646,-0.850185732001197,0.104911299065171,-8.10385286977586,5.32454922277507e-16,6.73627430048922e-14
Rv3277,4654.40142787324,-0.750488263720893,0.123775447871205,-6.06330477189481,1.33352626006507e-09,6.36962900343326e-08
Rv3278c,2293.48476522706,-0.774636799756138,0.14897339266987,-5.19983324453623,1.99467400267003e-07,7.29458516132687e-06
