"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PE_PGRS49",27.8882545901758,0.0845860672765663,1.33425784707265,0.063395592884949,0.949451496562402,0.999003876078018
"PE_PGRS50",1635.77370383113,-0.0601685013151167,0.201559070982999,-0.298515472519675,0.765309768782136,0.999003876078018
"PPE54",24283.6806295993,1.33913028501877,0.126249442586589,10.6070193862465,2.76426867765001e-26,2.98565764840481e-23
"PPE55",30826.0804555153,0.125748208686783,0.116170521626023,1.08244507235315,0.279054809762958,0.999003876078018
"Rv3172c",697.601839941941,0.0988034722682336,0.252220800372871,0.39173403669391,0.695254738304486,0.999003876078018
"Rv3173c",2037.8741518812,0.0854921551102597,0.157976875753825,0.541168792598999,0.588391245470882,0.999003876078018
"Rv3174",2346.57858313492,0.0840351961782938,0.153143991300438,0.548733224625402,0.583188541756161,0.999003876078018
"Rv3175",5991.33476021684,0.0538487021308488,0.113631860762449,0.473887356675618,0.635580235666525,0.999003876078018
"Rv3177",2053.73019461948,0.0839065776049892,0.168550082744245,0.497813921173255,0.618615202894123,0.999003876078018
"Rv3178",1356.52713538015,0.391247807003418,0.249852449528604,1.56591543425564,0.11736841605038,0.999003876078018
"Rv3178a",1041.05456028348,0.0653969796282216,0.218042232431424,0.299928040999073,0.764232044786843,0.999003876078018
"Rv3179",5375.34360660166,0.0680917949737727,0.129601644232483,0.525392986925597,0.599310027767804,0.999003876078018
"Rv3180c",2621.09986754463,0.098259390808235,0.142166063954109,0.691159254714632,0.489465466235864,0.999003876078018
"Rv3181c",1479.07019669286,-0.0070904038617715,0.204741347788976,-0.0346310305091841,0.972373957565917,0.999003876078018
"Rv3182",988.343562842913,-0.0699853086604469,0.230269092864166,-0.303928363941272,0.761182468022956,0.999003876078018
"Rv3183",607.665147693835,0.108967770138278,0.273928799716287,0.397795961034905,0.690780594743587,0.999003876078018
"Rv3188",1396.77233971176,-0.865511221819306,0.189787414613309,-4.56042474461639,5.10502555409453e-06,0.000153183491145619
"Rv3189",3159.85955435551,-0.592244553641308,0.161822741132241,-3.65983513502178,0.000252377571972955,0.00649109568354616
"Rv3190A",2793.27851770966,-0.740773175083386,0.149201946203573,-4.96490289793317,6.87354516995187e-07,2.29821892432462e-05
"Rv3190c",7038.39145587606,-0.700777754437894,0.105958898411475,-6.61367534906349,3.74893447263776e-11,2.37145436032667e-09
"Rv3191c",5981.92006289846,-0.680052871529966,0.112619164001349,-6.03851820034663,1.55535886995966e-09,7.35417663664764e-08
"Rv3192",4324.26047449886,-0.545437650592536,0.139645827688049,-3.90586428268357,9.38891992409769e-05,0.00254043550084979
