"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MtCM",111.43527404125,0.355161733648568,0.680837806805882,0.521653953552891,0.601911290345782,0.76435433063115
"35kd_ag",2911.80975493977,-1.53297365088577,0.481607794936075,-3.18303330428704,0.00145740849697868,0.0119672606211605
"F6",4.54157380047149,2.27179775574961,2.73500466116065,0.830637617555477,0.406178377127419,NA
"MTS2823",9.95399051121229,3.52915459990077,2.17491106521336,1.62266616614715,0.104660787776647,NA
"P55",2073.73133050378,1.65140322864749,0.478831065576325,3.4488222410128,0.000563037218804348,0.00586123770382696
"PE1",271.648615541551,-0.501854218766306,0.590993882027688,-0.849169905184896,0.395786756671377,0.593225409530241
"PE12",792.000480413466,0.0498245234382396,0.492051157767404,0.101258827769677,0.919344998830189,0.952378097355567
"PE13",1467.72738730063,0.0624734564067868,0.477221563804896,0.130910799396165,0.895845871524763,0.938422203940198
"PE14",32.2933884953884,-0.370452804272937,1.08580732619407,-0.341177293002282,0.732970116419344,NA
"PE15",321.394981432774,-0.242971708812118,0.682987628730057,-0.355748330703878,0.72202904696062,0.837589251460319
"PE16",178.859110861937,-1.1461441839252,0.606769778110838,-1.88892760528333,0.058901529908295,0.171428468126922
"PE17",694.578806536444,0.350869773794998,0.502825522888676,0.697796268931,0.485304612773408,0.675837447392175
"PE18",6.66797214283538,-6.94618573237564,2.61824719165584,-2.65299080793923,0.00797820434975311,NA
"PE19",2977.9192734515,0.25321439483794,0.480950625223974,0.526487297360348,0.598549675528537,0.761111243949748
"PE2",131.171830517702,-0.21387081814122,0.658815510863572,-0.32462930003102,0.745461649028212,0.851387558134066
"PE20",91.5393140921576,-1.41414583120412,0.718884880319234,-1.9671380911171,0.0491672929114681,0.152144110823747
"PE22",172.027947444181,-0.12078209228043,0.735532338511278,-0.164210444539928,0.869565479166065,0.925555574972296
"PE23",564.300602808275,1.80644592825499,0.53747344086078,3.36099570866593,0.000776620321640537,0.00746704589863057
"PE24",44.0234371517034,-1.56854722869752,0.956819788982097,-1.63933401750208,0.101143715126044,NA
"PE25",1053.05042315272,0.565149785503502,0.485682528233351,1.16361975704419,0.244578141145801,0.444999859990206
"PE26",1075.80124854717,0.248355152837649,0.497510080473254,0.499196222519556,0.6176411554962,0.772871684948598
"PE27",60.3650662878438,-1.96090137045429,0.830709139830573,-2.36051498224062,0.0182495811399204,0.0769381110921254
"PE29",27.1809920236409,-1.53228813714352,1.12064147123594,-1.36733127987274,0.171521491465837,NA
"PE3",127.542726113977,-1.82348201333673,0.657164365405558,-2.77477311511162,0.00552402301848014,0.0327874689081128
"PE31",331.542349185902,0.523353885751008,0.546597828936614,0.957475236901642,0.338327439444121,0.541487817879731
"PE32",46.3557885020633,-2.25772709819825,0.914981948056083,-2.46750999076527,0.0136056424567861,NA
"PE33",13.3350882668582,-0.814308498296427,1.49288461350095,-0.545459770254313,0.585437342014939,NA
"PE34",79.2979062020241,-0.371403483693097,0.777014316853163,-0.477987954195294,0.632658778623677,0.781316455968881
"PE35",855.688427381959,-0.299372006492735,0.489320039438505,-0.611812274919834,0.54066196743344,0.721001005834045
"PE36",130.596805821092,1.72264689301338,0.686777687367406,2.50830352339594,0.0121312412148999,0.0575127649546638
"PE4",98.1319689003261,-1.31331977480575,0.706288701423519,-1.85946592683525,0.0629611245922506,0.180045886637475
"PE5",50.9232313655113,0.399402265496887,0.905006387297496,0.441325355381823,0.658977472607211,NA
"PE6",41.7296785562191,-2.37313510613836,0.963734591504456,-2.46243636687745,0.0137996657689578,NA
