"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MtCM",209.460765289867,0.45817060414359,0.309276749709998,1.48142595449935,0.138493102722865,0.171403437396219
"35kd_ag",2293.84480066408,-3.46181970148252,0.275261392921136,-12.576481084924,2.84419426922444e-36,3.70533120447716e-35
"C8",3.68494925433605,-5.10068609166677,1.78065313170365,-2.86450291797519,0.00417664306574761,0.00664729351546905
"F6",17.1124906215976,-6.08798879499766,1.05528220222686,-5.76906232489354,7.9713821784057e-09,2.64195985800155e-08
"MTS2823",5.72692628347497,-5.7190059116513,1.58079908206946,-3.61779430195797,0.000297124385084523,0.000564368329181143
"P55",2402.80548967574,-2.07183374587966,0.270264126405316,-7.66595912463989,1.77499717635734e-14,9.62838722077114e-14
"PE1",655.438884857817,-0.699018218940456,0.220366073401664,-3.17207729915097,0.00151352715236215,0.00258277147952075
"PE12",647.237463513606,-1.3767443068896,0.275615253137434,-4.9951673255293,5.87847766267653e-07,1.54363374916626e-06
"PE13",3299.171604068,-2.9459110094455,0.466380553843665,-6.31653911203381,2.67485775136182e-10,1.03879900946776e-09
"PE14",108.599702289226,1.37294124068171,0.528344971691982,2.59856971153709,0.00936130349841955,0.0141654473465467
"PE15",38.1561855485876,1.37168461713149,0.813938901496713,1.68524273088455,0.0919417498837833,0.117341126106766
"PE16",431.32225192693,0.981343903657948,0.282067895019654,3.47910528275319,0.000503090894900283,0.000926404259481609
"PE17",674.770092922643,-2.53666901698108,0.307933363370787,-8.2377206198558,1.75522460949444e-16,1.09190758445137e-15
"PE19",3700.11355814968,-2.49687275235208,0.49838688839671,-5.00990858805379,5.44558952477978e-07,1.43476792913386e-06
"PE2",324.348449388258,0.382506383200671,0.274423348303873,1.39385509857243,0.163361365747076,0.199503636226564
"PE20",419.018140549924,-1.39339466675236,0.232937704819925,-5.98183393207867,2.20639164822365e-09,7.66370747532928e-09
"PE22",213.98311981302,-0.635502286088361,0.324992246890102,-1.95543829789656,0.0505313594776534,0.0680942646485398
"PE23",431.307241771313,-0.30182384008464,0.223934077336399,-1.34782451904912,0.177714829790096,0.215632828819097
"PE24",171.150412502833,2.60937652164232,0.477642291180811,5.46303493183468,4.68062449836674e-08,1.42756011775738e-07
"PE25",579.778757701633,-2.72622927468774,0.209938873784791,-12.9858240426802,1.47244782621269e-38,2.07332997804739e-37
"PE26",977.622280359246,-2.30337063286957,0.251795799562078,-9.14777226973434,5.81196615759605e-20,4.31130549513789e-19
"PE27",136.762317670268,0.561586821186271,0.415829291900183,1.35052251518894,0.176848436533417,0.214747791638694
"PE29",123.442813589604,2.45640717559107,0.537938988753483,4.56633043327659,4.96336176458969e-06,1.1741795965224e-05
"PE3",542.06488726489,1.14902940849879,0.278364827895062,4.12778229630342,3.66278635150492e-05,7.76299423665057e-05
"PE31",388.478710931854,-1.32275063019382,0.460673395490849,-2.87134148214577,0.00408733722202728,0.00651839503397568
"PE32",181.04359868103,0.474186216761534,0.548056230755461,0.865214534844169,0.386921049173142,0.437005209957081
"PE33",34.9308151874878,2.50554044720761,0.933618501877324,2.68368765418579,0.0072815098657785,0.0111984764220917
"PE34",197.719949978577,2.26213131346564,0.435321009831413,5.19646711823465,2.03111507673398e-07,5.63892219945684e-07
"PE35",377.173105147708,-1.83902401567131,0.298805560838911,-6.15458430729387,7.5274672742898e-10,2.76144138775233e-09
"PE36",132.114450628148,-0.280532305471253,0.336025810026211,-0.834853446077164,0.403800229213859,0.453347452373545
"PE4",401.700070259031,1.31016708927578,0.302930042100225,4.32498236289917,1.52544066533064e-05,3.39685011792139e-05
"PE5",21.1444367354392,-3.5082362602245,0.695355689807738,-5.04523988463301,4.52952721130735e-07,1.20420387081845e-06
"PE6",128.425529004086,3.78738104826727,0.73114211470601,5.18008875714972,2.2178034935099e-07,6.11390963070167e-07
"PE7",79.5135631279342,0.891918695904556,0.496861852702853,1.79510399329845,0.0726371326629417,0.0947344522778188
"PE8",283.382584049366,-0.368904112885354,0.287290920959973,-1.28407856277767,0.199114468006367,0.239069528474328
"PE9",183.435490472585,2.61253247648935,0.464148896933006,5.62865169722991,1.81623728933122e-08,5.75202961058905e-08
"PE_PGRS1",301.855056647693,2.32467438468767,0.353871563501322,6.5692602188392,5.05658499321198e-11,2.10452382505097e-10
"PE_PGRS10",110.686392567226,1.49180816216111,0.48526009501114,3.07424446703549,0.00211036423218661,0.00352451810510428
"PE_PGRS11",687.709122625187,1.0230612790583,0.238748324030428,4.28510350057124,1.82654133713058e-05,4.02729672223399e-05
"PE_PGRS12",12.7403195031546,0.542864806325638,1.06508255047266,0.509692705119173,0.610266764464541,0.653628921265483
"PE_PGRS13",19.727549046662,1.40473196378605,0.993867801904853,1.41339920771529,0.157538378437542,0.193094342922012
"PE_PGRS14",465.198968669223,0.177520756001631,0.261539964535468,0.678751931151068,0.497295055629956,0.546954781718354
"PE_PGRS15",306.651842289079,-1.17678920071678,0.262671530212535,-4.4800789783522,7.4615424574785e-06,1.72865192992716e-05
