gene,direction
ino1,down
ispD,down
kasA,down
kshA,down
lat,down
lipX,down
lldD2,down
lsr2,down
mce2R,down
mkl,down
mmaA4,down
mmpL5,down
mmpS5,down
moeB1,down
mpa,down
mpt64,down
narG,down
ncRv0046A,down
ncRv0842Ac,down
ncRv10666,down
ncRv10699,down
ncRv11144c,down
ncRv11534,down
ncRv12929,down
ncRv1954,down
ncRv2659,down
nrdB,down
nrdE,down
nrdF2,down
nrdH,down
nrdI,down
nusG,down
pckA,down
pepD,down
phoH1,down
phoP,down
pstS2,down
rho,down
ribA2,down
rne,down
rnpB,down
rplB,down
rplC,down
rplE,down
rplF,down
rplK,down
rplN,down
rplS,down
rplT,down
rpmE,down
rpoB,down
rpoZ,down
rpsD,down
rpsG,down
rpsJ,down
rpsL,down
rpsM,down
rpsO,down
rrf,down
rrl,down
rrs,down
rubA,down
sORF_148,down
sORF_200,down
sORF_205,down
sahH,down
sigB,down
sigE,down
ssr,down
tgs1,down
usfY,down
vapB10,down
vapB47,down
vapC10,down
vapC47,down
wag31,down
whiB1,down
whiB3,down
yrbE2A,down
PE17,down
PE26,down
PE35,down
PE5,down
PE_PGRS15,down
PE_PGRS25,down
PE_PGRS33,down
PE_PGRS7,down
PPE4,down
PPE53,down
PPE67,down
Rv0027,down
Rv0060,down
Rv0061c,down
Rv0064,down
Rv0078A,down
Rv0078B,down
Rv0081,down
Rv0088,down
Rv0108c,down
Rv0141c,down
Rv0144,down
Rv0146,down
Rv0177,down
Rv0207c,down
Rv0232,down
Rv0238,down
Rv0247c,down
Rv0268c,down
Rv0272c,down
Rv0274,down
Rv0281,down
Rv0293c,down
Rv0298,down
Rv0302,down
Rv0309,down
Rv0315,down
Rv0412c,down
Rv0464c,down
Rv0472c,down
Rv0476,down
Rv0479c,down
Rv0500A,down
Rv0502,down
Rv0513,down
Rv0530A,down
Rv0543c,down
Rv0559c,down
Rv0571c,down
Rv0609A,down
Rv0634c,down
Rv0692,down
Rv0760c,down
Rv0763c,down
Rv0810c,down
Rv0822c,down
Rv0823c,down
Rv0831c,down
Rv0856,down
Rv0857,down
Rv0859,down
Rv0863,down
Rv0870c,down
Rv0875c,down
Rv0898c,down
Rv0986,down
Rv0996,down
Rv1019,down
Rv1083,down
Rv1216c,down
Rv1234,down
Rv1248c,down
Rv1324,down
Rv1337,down
Rv1339,down
Rv1362c,down
Rv1363c,down
Rv1405c,down
Rv1463,down
Rv1465,down
Rv1489,down
Rv1498A,down
Rv1498c,down
Rv1533,down
Rv1592c,down
Rv1593c,down
Rv1615,down
Rv1616,down
Rv1628c,down
Rv1670,down
Rv1828,down
Rv1830,down
Rv1831,down
Rv1836c,down
Rv1841c,down
Rv1855c,down
Rv1869c,down
Rv1870c,down
Rv1887,down
Rv1891,down
Rv1906c,down
Rv1929c,down
Rv1957,down
Rv1978,down
Rv1989c,down
Rv1993c,down
Rv2021c,down
Rv2022c,down
Rv2035,down
Rv2050,down
Rv2136c,down
Rv2137c,down
Rv2144c,down
Rv2146c,down
Rv2159c,down
Rv2161c,down
Rv2169c,down
Rv2172c,down
Rv2199c,down
Rv2239c,down
Rv2295,down
Rv2307D,down
Rv2365c,down
